Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG
2024-08-24,Bnei Sakhnin,Maccabi Petah Tikva,2,0,H,2,0
2024-08-24,Maccabi Bnei Raina,Maccabi Netanya,4,3,H,4,1
2024-08-24,Maccabi Haifa,Ironi Tiberias,4,0,H,1,0
2024-08-24,Hapoel Hadera,Hapoel Haifa,0,0,D,0,0
2024-08-25,Beitar Jerusalem,Ashdod,3,2,H,1,0
2024-08-26,Ironi Kiryat Shmona,Hapoel Beer Sheva,0,1,A,0,0
2024-08-31,Hapoel Haifa,Maccabi Bnei Raina,1,3,A,1,0
2024-08-31,Ashdod,Ironi Kiryat Shmona,2,1,H,2,1
2024-08-31,Hapoel Katamon,Hapoel Hadera,1,1,D,0,1
2024-08-31,Ironi Tiberias,Beitar Jerusalem,1,0,H,0,0
2024-08-31,Maccabi Netanya,Maccabi Haifa,0,2,A,0,1
2024-09-01,Maccabi Petah Tikva,Maccabi Tel Aviv,0,3,A,0,2
2024-09-14,Hapoel Haifa,Hapoel Katamon,4,0,H,3,0
2024-09-14,Bnei Sakhnin,Ashdod,2,2,D,1,0
2024-09-14,Ironi Kiryat Shmona,Ironi Tiberias,2,0,H,1,0
2024-09-14,Maccabi Bnei Raina,Maccabi Haifa,2,2,D,0,1
2024-09-14,Maccabi Tel Aviv,Hapoel Beer Sheva,1,0,H,1,0
2024-09-15,Beitar Jerusalem,Maccabi Netanya,2,0,H,1,0
2024-09-16,Hapoel Hadera,Maccabi Petah Tikva,0,1,A,0,1
2024-09-18,Maccabi Tel Aviv,Hapoel Katamon,2,1,H,1,0
2024-09-21,Hapoel Katamon,Maccabi Bnei Raina,0,1,A,0,1
2024-09-21,Ironi Tiberias,Bnei Sakhnin,1,0,H,0,0
2024-09-21,Maccabi Petah Tikva,Hapoel Haifa,0,0,D,0,0
2024-09-21,Maccabi Netanya,Ironi Kiryat Shmona,2,0,H,1,0
2024-09-21,Hapoel Beer Sheva,Hapoel Hadera,2,1,H,0,1
